Directorio;Secuencia_p;Orden;Area;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Ini;Dpto;Fex_c_2011
396670;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;1022,07283085824
396673;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;820,840215094421
396673;1;3;05;80;1;1;7; ;2; ; ; ; ; ;1;05;820,840215094421
396673;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;820,840215094421
396673;1;6;05;80;1;1;5; ;2; ; ; ; ; ;1;05;820,840215094421
396677;1;2;05;80;1;2;2; ;2; ; ; ; ; ;1;05;929,979646552354
396679;1;1;05;80;1;4;3; ;2; ; ; ; ; ;1;05;937,819100810354
396679;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;937,819100810354
396679;1;3;05;80;1;3;0; ;2; ; ; ; ; ;1;05;937,819100810354
396682;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;564,333653559163
396684;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;618,411385534203
396684;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;618,411385534203
396686;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;618,411385534203
396686;1;2;05;80;1;1;4; ;3; ; ; ; ; ;1;05;618,411385534203
396686;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;618,411385534203
396693;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;808,947341654677
396693;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;808,947341654677
396696;1;2;05;80;1;1;2; ;2; ; ; ; ; ;1;05;731,274624991921
