DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177S1;P6040;DPTO;fex_c_2011
502687;1;1;05;10;1;1;1;8;1953;1;2; ;6;1; ; ;1;1;17350;2;2;2; ; ; ; ; ; ; ; ;1;0; ; ;54;05;886,959507727495
502687;1;2;05;10;2;2;1;5;1953;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;54;05;886,959507727495
502687;1;3;05;10;3;1;1;11;1977;3;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;29;05;886,959507727495
502687;1;4;05;10;4;1;1;2;1992;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;8; ; ;15;05;886,959507727495
502688;1;1;05;10;1;1;1;6;1959;1;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;5;10;1; ;48;05;714,561114654478
502688;1;2;05;10;2;2;1;10;1960;2;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;47;05;714,561114654478
502688;1;3;05;10;3;1;1;11;1984;3;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;6;1;3; ;22;05;714,561114654478
502688;1;4;05;10;4;1;1;4;1986;3;2; ;5;1; ; ;1;1;17300;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;21;05;714,561114654478
502689;1;1;05;10;1;2;1;6;1968;1;2; ;3;1; ; ;1;1;64000;2;1;2; ; ; ; ; ; ; ; ;6;5;4; ;39;05;660,658006908567
502689;1;2;05;10;1;2;1;6;1996;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;3;4; ; ;11;05;660,658006908567
502689;1;3;05;10;1;1;1;4;2002;3;2; ; ;1; ; ;1;5; ;2;2;1;2;2; ; ;2; ;2; ;2;0; ; ;5;05;660,658006908567
502689;1;4;05;10;4;2;1;11;1939;5;2; ;4;1; ; ;1;2;54200;2;1;2; ; ; ; ; ; ; ; ;3;3; ; ;67;05;660,658006908567
502691;1;1;05;10;1;2;1;5;1949;1;2; ;4;1; ; ;1;2;58000;2;1;2; ; ; ; ; ; ; ; ;4;6; ; ;58;05;545,870968330105
502691;1;2;05;10;2;2;1;7;1985;3;2; ;5;1; ; ;1;1;70000;2;1;2; ; ; ; ;2; ;2; ;6;5;4; ;22;05;545,870968330105
502692;1;1;05;10;1;2;1;1;1930;1;2; ;4;1; ; ;1;2;83200;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;77;05;540,629837307401
502692;1;2;05;10;2;2;1;10;1953;3;2; ;5;1; ; ;1;3;54300;1;1;2; ; ; ; ; ; ; ; ;4;8; ; ;54;05;540,629837307401
502692;1;3;05;10;3;2;1;6;1957;3;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;6;15;5; ;50;05;540,629837307401
502695;1;1;05;10;1;1;1;11;1973;1;2; ;6;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;7; ; ;33;05;766,687017596852
