directorio;secuencia_p;orden;P7430;P7440;P7450;ini;mes;area;dpto;fex_c_2011
121323;1;4;2; ; ;1;06;76;76;405,704661394343
121325;1;4;1;1,3;7;1;06;76;76;765,955520843751
121325;1;6;1;4;4;1;06;76;76;765,955520843751
121327;1;1;1;4;7;1;06;76;76;543,393781758078
121328;1;1;1;4;4;1;06;73;73;216,079844223763
121330;1;3;2; ; ;1;06;76;76;624,515710239194
121330;1;4;1;4;4;1;06;76;76;624,515710239194
121333;1;2;1;2;3;1;06;23;23;457,157949959158
121334;1;2;1;3;4;1;06;73;73;453,797559989187
121334;1;3;2; ; ;1;06;73;73;453,797559989187
121335;1;2;1;2;4;1;06;23;23;199,538854076669
121336;1;1;1;4;4;1;06;68;68;380,662082151925
121336;1;2;1;4;3;1;06;68;68;380,662082151925
121337;1;1;1;3;4;1;06;73;73;372,298654731296
121337;1;2;1;4;6;1;06;73;73;372,298654731296
121337;1;5;1;4;4;1;06;73;73;372,298654731296
121338;1;1;1;4;4;1;06;68;68;378,593266488056
