DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4295148;1;1;1;10;1;1;8;1964;52;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;962,797853247574
4295148;1;2;1;10;2;1;4;1999;17;3;6;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;03;70;962,797853247574
4295148;1;3;1;10;3;1;7;2001;15;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;03;70;962,797853247574
4295149;1;1;1;10;1;1;1;1959;58;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;03;70;810,148197395059
4295149;1;2;1;10;2;2;7;1969;47;2;2;2;2; ; ; ; ;1;2;2; ;1;0; ; ;2;0;03;70;810,148197395059
4295150;1;1;1;10;1;1;5;1961;55;1;4;1; ; ;3; ; ;2;2;2; ;3;1; ; ;2;1;03;70;1038,91616094294
4295151;1;1;1;10;1;1;4;1978;39;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;03;70;842,607996887896
4295151;1;2;1;10;2;2;11;1982;34;2;2;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;03;70;842,607996887896
4295151;1;3;1;10;3;2;12;1999;17;3;6;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;03;70;842,607996887896
4295151;1;4;1;10;2;1;3;2001;16;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;03;70;842,607996887896
4295151;1;5;1;10;2;1;9;2005;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;03;70;842,607996887896
4295152;1;1;1;10;1;2;1;1948;69;1;5;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;370,522424431042
4295152;1;2;1;10;2;1;7;1983;33;3;3;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;03;70;370,522424431042
4295152;1;3;1;10;3;2;9;1985;31;5;3;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;370,522424431042
4295152;1;4;1;10;4;1;9;1985;31;4;6;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;03;70;370,522424431042
4295153;1;1;1;10;1;1;12;1949;67;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;1336,7874730238
4295153;1;2;1;10;2;1;1;1954;63;5;4;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;03;70;1336,7874730238
4295154;1;1;1;10;1;1;6;1941;75;1;2;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;03;70;810,148197395059
