DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;P750S1;P750S1A1;P750S2;P750S2A1;P750S3;P750S3A1;P750S4;AREA;MES;P1661S1;P1661S1A1;P1661S2;P1661S2A1;P1661S3;P1661S3A1;P1661S4;P1661S4A1;P1661S4A2;DPTO;fex_c_2011
3927830;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1307,85876613399
3927831;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;941,508181087613
3927831;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;941,508181087613
3927831;1;3;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;941,508181087613
3927831;1;4;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;941,508181087613
3927832;1;1;1;95;1;2;1; ;1056000; ;2;1;2;2; ; ; ; ; ;2;2;2;2400000;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;977,940970451471
3927833;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1016,56622072524
3927834;1;1;1;95;2; ; ; ; ; ; ;1;2;1; ;180000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1057,59920998417
3927834;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1057,59920998417
3927834;1;3;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;130000;1; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1057,59920998417
3927835;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;834,27736193612
