DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2636485,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
2636486,1,1,1,80,1,1,4,4,,2,,2,,,,,9,2,1,3,27,27,24.570.527.790.753
2636487,1,1,1,80,1,1,2,3,,2,,2,,,,,9,2,1,3,27,27,24.570.527.790.753
2636488,1,1,1,80,1,1,3,3,,2,,2,,,,,8,2,1,3,27,27,24.570.527.790.753
2636488,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
2636489,1,1,1,80,1,1,4,3,,2,,2,,,4,,1,1,1,3,27,27,24.570.527.790.753
2636489,1,6,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
2636490,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,27,27,781.299.408.536.326
2636490,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,781.299.408.536.326
2636491,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,321.648.465.757.306
2636492,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,101.785.387.037.532
2636492,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,101.785.387.037.532
2636493,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,27,27,24.570.527.790.753
2636877,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,52,52,136.127.725.847.485
2636879,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,52,52,198.749.747.544.469
2636880,1,1,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,52,52,115.064.873.565.744
2636883,1,1,1,80,1,1,4,4,,2,,2,,,,,4,2,1,3,52,52,251.703.012.809.192
2636885,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,52,52,198.749.747.544.469
2636886,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,52,52,171.297.711.365.697
2636888,1,1,1,80,1,1,3,4,,2,,2,,,,,4,2,1,3,52,52,1.699.184.193.186
2636889,2,2,2,80,1,1,4,3,,2,,2,,,,,9,2,1,3,52,52,265.285.364.704.724
2636893,1,4,1,80,1,1,1,2,,2,,2,,,,,2,2,1,3,52,52,180.112.954.992.461
2636896,1,1,1,80,1,1,1,8,,2,,2,,,,,9,2,1,3,52,52,21.192.532.419.714
2636897,1,1,1,80,1,1,1,5,,3,,2,,,,,10,2,1,3,52,52,16.181.565.421.731
2636899,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,52,52,141.460.077.841.348
2636899,1,6,1,80,1,2,,,,2,,2,,2,,.,,,1,3,52,52,141.460.077.841.348
2636900,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,52,52,168.170.888.314.875
2636900,1,2,1,80,1,1,4,7,,2,,2,,,,,9,2,1,3,52,52,168.170.888.314.875
2636901,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,52,52,20.196.158.178.599
2636906,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,11.034.951.068.204
2636907,1,1,1,80,1,1,4,1,,2,,2,,,,,8,2,1,3,15,15,72.517.237.067.474
2636907,1,2,1,80,1,1,4,1,,2,,2,,,,,8,2,1,3,15,15,72.517.237.067.474
2636907,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,72.517.237.067.474
2636908,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,402.413.165.329.089
2636908,2,2,2,80,1,1,2,6,,2,,2,,,,,9,2,1,3,15,15,402.413.165.329.089
2636909,1,1,1,80,1,1,4,5,,3,,2,,,,,8,2,1,3,15,15,75.221.082.299.762
2636910,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,15,15,852.461.230.151.517
