Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3705280;1;5;1;70;1;5;50;3; ;2;104;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;04;54;251,903256705944;54
3705281;1;2;1;70;1;4;48;1; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;39;45;52;1;1;5261;04;54;365,114137776759;54
3705283;1;2;1;70;1;4;40;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;380000;2;53;53;55;1;1;5529;04;54;457,534506681968;54
3705291;1;2;1;70;1;48;45;1; ;2;8;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;45;52;1;2;5244;04;63;143,34605575227;63
3705299;1;2;1;70;1;6;60;1; ;2;24;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;84;50;1;1;5020;04;73;179,726689391235;73
3705304;1;3;1;70;1;208;40;1; ;2;208;1; ;7;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;64;1;2;6412;04;73;359,938847901567;73
3705305;1;1;1;70;1;52;54;1; ;2;288;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;33;60;1;2;6021;04;73;208,616501741492;73
3705307;1;2;1;70;1;2;48;1; ;2;8;1; ;9;2; ; ;1; ; ; ; ; ; ; ; ;2; ;2;15;21;70;1;1;7020;04;73;244,505084521602;73
3705309;1;2;1;70;1;72;48;1; ;2;96;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;51;1;2;5190;04;73;297,523189133622;73
3705312;1;3;1;70;1;12;48;1; ;2;12;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;65;1;1;6599;04;08;579,232904229806;08
3705324;2;2;2;70;1;9;48;1; ;2;208;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;24;1;1;2424;04;73;252,142862708287;73
3705329;1;3;1;70;1;14;40;1; ;2;12;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;74;1;2;7411;04;73;245,242363596736;73
3705345;1;1;1;70;1;5;48;4; ;2;5;7; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;62;01;1;1;0122;04;66;153,208043694145;66
3705345;1;2;1;70;1;5;48;1; ;2;5;8; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;60;01;1;1;0122;04;66;153,208043694145;66
3705354;1;4;1;70;1;12;48;1; ;2;12;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;39;74;1;1;7499;04;68;422,047669086544;68
3705354;1;5;1;70;1;8;48;1; ;2;8;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;04;68;422,047669086544;68
3705366;1;1;1;70;1;12;48;1; ;2;12;1; ;3;9;EL SISBEN; ; ; ; ; ; ; ; ;1; ;2; ;2;03;39;52;1;1;5219;04;68;488,603758249034;68
3705374;1;2;1;70;1;8;48;1; ;2;104;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;52;1;1;5211;04;68;508,937479477148;68
3705375;1;1;1;70;1;98;48;1; ;2;98;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;21;50;1;2;5020;04;68;353,387987380401;68
3705380;1;2;1;70;1;2;45;9;AYUDANTE DE TRABAJADOR POR CUENTA PROPIA;2;2;9;AYUDANTE DE TRABAJADOR POR CUENTA PROPIA.;1;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;80;80;19;1;1;1929;04;68;447,764600613549;68
3705387;2;1;2;70;1;4;48;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;33;33;92;1;1;9241;04;68;412,027894197463;68
