DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
6,001,368;1;4;1;70;08;24;48;1,000,000;1;;2;25;1;;9;2;1;;2;;;;;;;;;;;1;2;;49;33;33;1;2;4921;11;08;456.44092568
6,001,394;1;1;1;70;08;30;48;908,000;1;;2;53;1;;7;2;4;;2;;;;;;;;;;;1;2;;85;13;13;1;2;8511;11;08;581.46162857
6,001,408;1;1;1;70;08;8;48;910,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;1;;11;08;688.82041284
6,001,423;1;2;1;70;08;108;40;2,000,000;2;;2;108;4;;9;2;2;;2;;;;;;;;;;;1;2;;84;12;20;1;2;8412;11;08;637.27182867
6,001,423;1;6;1;70;08;52;40;900,000;1;;2;18;4;;2;2;1;;2;;;;;;;;;;;1;2;;47;32;45;1;2;4711;11;08;637.27182867
6,001,423;1;8;1;70;08;24;40;300,000;1;;2;18;1;;5;2;2;;2;;;;;;;;;;;1;2;;85;33;33;1;2;8559;11;08;637.27182867
6,001,427;1;2;1;70;08;12;48;908,000;1;;2;48;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;33;77;1;1;5611;11;08;627.31135669
6,001,431;1;3;1;70;08;52;20;900,000;1;;2;180;1;;9;2;1;;2;;;;;;;;;;;1;2;;82;38;38;1;2;8220;11;08;539.74197473
6,001,448;1;1;1;70;08;8;48;800,000;1;;2;8;1;;9;2;1;;2;;;;;;;;;;;1;2;;14;79;79;1;1;1410;11;08;551.26982914
6,001,449;1;2;1;70;08;98;48;1,300,000;1;;2;98;1;;6;2;2;;2;;;;;;;;;1;;;2;;42;03;03;1;2;4210;11;08;653.34280755
6,001,454;1;1;1;70;08;60;48;908,526;1;;2;80;1;;9;2;4;;2;;;;;;;;;;;1;2;;47;45;33;1;2;4773;11;08;689.99264501
6,001,456;1;5;1;70;08;3;48;900,000;1;;2;25;1;;9;2;1;;2;;;;;;;;;;;1;2;;21;38;16;1;1;2100;11;08;825.97584628
6,001,457;1;7;1;70;08;3;48;900,000;1;;2;3;1;;5;2;1;;2;;;;;;;;;;;1;1;900000;52;97;97;1;1;5210;11;08;684.71050894
6,001,461;1;1;1;70;08;52;48;908,526;1;;2;80;1;;9;2;4;;2;;;;;;;;;;;1;2;;86;59;07;1;2;8610;11;08;616.20051599
6,001,468;1;1;1;70;08;8;48;2,000,000;1;;2;8;1;;9;2;9;ESTA AFILIADO A LA EPS POR DESEMPLEO EL CUAL LO COBIJA POR 3 MESES;2;;;;;;;;;;;1;2;;86;98;98;1;1;8699;11;08;638.15026399
6,001,484;1;4;1;70;08;20;48;906,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;32;;1;2;;11;08;739.70921857
6,001,488;1;1;1;70;08;24;48;900,000;1;;2;35;1;;4;2;1;;2;;;;;;;;;;;1;2;;74;92;92;1;2;7410;11;08;515.20669746
6,001,492;1;1;1;70;08;108;48;1,200,000;1;;2;4;1;;7;2;7;;2;;;;;;;;;;;1;1;2000000;86;03;03;1;2;8621;11;08;559.00031474
6,001,512;1;3;1;70;08;24;48;1,200,000;1;;2;12;1;;9;2;7;;2;;;;;;;;;;;1;2;;60;15;86;1;2;6010;11;08;460.50105882
6,001,514;1;4;1;70;08;48;48;906,000;1;;2;49;1;;9;2;1;;2;;;;;;;;;;;1;2;;31;95;95;1;2;3110;11;08;812.90911017
6,001,530;1;3;1;70;08;12;40;3,000,000;1;;2;12;4;;9;2;2;;2;;;;;;;;;;;1;2;;86;06;06;1;1;8610;11;08;637.24079616
6,001,531;1;7;1;70;08;6;48;900,000;1;;2;60;1;;6;2;1;;2;;;;;;;;;;;1;2;;86;32;32;1;1;8691;11;08;552.80871084
6,001,560;1;3;1;70;08;52;48;900,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;11;08;593.81784786
6,001,575;1;1;1;70;08;53;48;908,000;1;;2;156;1;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;11;08;656.23070853
6,001,575;1;2;1;70;08;4;48;908,000;1;;2;4;1;;6;2;1;;2;;;;;;;;;;;1;1;908000;82;95;97;1;1;8299;11;08;656.23070853
6,001,581;1;3;1;70;08;2;48;800,000;1;;2;35;1;;3;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;1;4711;11;08;682.53058705
6,001,598;1;4;1;70;08;3;48;908,526;1;;2;4;1;;3;2;1;;2;;;;;;;;;;;1;1;454000;47;59;59;1;1;4773;11;08;587.06630673
6,001,599;1;3;1;70;08;104;48;910,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;84;;1;2;;11;08;682.53058705
6,001,613;1;2;1;70;08;4;48;908,000;1;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;1;800000;41;55;95;1;1;4111;11;08;448.36185529
6,001,613;1;3;1;70;08;2;48;908,000;1;;2;2;1;;4;2;1;;2;;;;;;;;;;;1;2;;14;79;79;1;1;1410;11;08;448.36185529
